,Tamil_Nadu_demand
833,18340.17
834,18340.17
835,18340.17
836,18696.3
837,18696.3
838,18696.3
839,18696.3
840,17887.89
841,17887.89
842,17887.89
843,17887.89
844,18109.54
845,18109.54
846,18109.54
847,18109.54
848,17529.74
849,17529.74
850,17529.74
851,17529.74
852,17276.11
853,17276.11
854,17276.11
855,17276.11
856,17578.51
857,17578.51
858,17578.51
859,17578.51
860,17302.9
861,17302.9
862,17302.9
863,17302.9
864,16421.86
865,16421.86
866,16421.86
867,16421.86
868,15830.63
869,15830.63
870,15830.63
871,15830.63
872,15442.55
873,15442.55
874,15442.55
875,15442.55
876,15005.06
877,15005.06
878,15005.06
879,15005.06
880,14857.66
881,14857.66
882,14857.66
883,14857.66
884,14963.25
885,14963.25
886,14963.25
887,14963.25
888,15073.96
889,15073.96
890,15073.96
891,15073.96
892,16064.05
893,16064.05
894,16064.05
895,16064.05
896,16609.66
897,16609.66
898,16609.66
899,16609.66
900,16791.75
901,16791.75
902,16791.75
903,16791.75
904,17611.45
905,17611.45
906,17611.45
907,17611.45
908,18218.64
909,18218.64
910,18218.64
911,18218.64
912,18031.8
913,18031.8
914,18031.8
915,18031.8
916,17611.26
917,17611.26
918,17611.26
919,17611.26
920,17672.96
921,17672.96
922,17672.96
923,17672.96
924,18621.82
925,18621.82
926,18621.82
927,18621.82
928,18869.52
929,18869.52
930,18869.52
931,18869.52
932,18684.78
933,18684.78
934,18684.78
935,18684.78
936,18381.16
937,18381.16
938,18381.16
939,18381.16
940,18303.59
941,18303.59
942,18303.59
943,18303.59
944,17380.02
945,17380.02
946,17380.02
947,17380.02
948,17371.73
949,17371.73
950,17371.73
951,17371.73
952,17805.0
953,17805.0
954,17805.0
955,17805.0
956,17684.19
957,17684.19
958,17684.19
959,17684.19
960,16632.24
961,16632.24
962,16632.24
963,16632.24
964,15772.0
965,15772.0
966,15772.0
967,15772.0
968,15352.22
969,15352.22
970,15352.22
971,15352.22
972,15064.29
973,15064.29
974,15064.29
975,15064.29
976,14726.94
