,snapshot,objective,stores,generators
226,2025-04-03 08:30:00,0.25,0.25,0.25
227,2025-04-03 08:45:00,0.25,0.25,0.25
228,2025-04-03 09:00:00,0.25,0.25,0.25
229,2025-04-03 09:15:00,0.25,0.25,0.25
230,2025-04-03 09:30:00,0.25,0.25,0.25
231,2025-04-03 09:45:00,0.25,0.25,0.25
232,2025-04-03 10:00:00,0.25,0.25,0.25
233,2025-04-03 10:15:00,0.25,0.25,0.25
234,2025-04-03 10:30:00,0.25,0.25,0.25
235,2025-04-03 10:45:00,0.25,0.25,0.25
236,2025-04-03 11:00:00,0.25,0.25,0.25
237,2025-04-03 11:15:00,0.25,0.25,0.25
238,2025-04-03 11:30:00,0.25,0.25,0.25
239,2025-04-03 11:45:00,0.25,0.25,0.25
240,2025-04-03 12:00:00,0.25,0.25,0.25
241,2025-04-03 12:15:00,0.25,0.25,0.25
242,2025-04-03 12:30:00,0.25,0.25,0.25
243,2025-04-03 12:45:00,0.25,0.25,0.25
244,2025-04-03 13:00:00,0.25,0.25,0.25
245,2025-04-03 13:15:00,0.25,0.25,0.25
246,2025-04-03 13:30:00,0.25,0.25,0.25
247,2025-04-03 13:45:00,0.25,0.25,0.25
248,2025-04-03 14:00:00,0.25,0.25,0.25
249,2025-04-03 14:15:00,0.25,0.25,0.25
250,2025-04-03 14:30:00,0.25,0.25,0.25
251,2025-04-03 14:45:00,0.25,0.25,0.25
252,2025-04-03 15:00:00,0.25,0.25,0.25
253,2025-04-03 15:15:00,0.25,0.25,0.25
254,2025-04-03 15:30:00,0.25,0.25,0.25
255,2025-04-03 15:45:00,0.25,0.25,0.25
256,2025-04-03 16:00:00,0.25,0.25,0.25
257,2025-04-03 16:15:00,0.25,0.25,0.25
258,2025-04-03 16:30:00,0.25,0.25,0.25
259,2025-04-03 16:45:00,0.25,0.25,0.25
260,2025-04-03 17:00:00,0.25,0.25,0.25
261,2025-04-03 17:15:00,0.25,0.25,0.25
262,2025-04-03 17:30:00,0.25,0.25,0.25
263,2025-04-03 17:45:00,0.25,0.25,0.25
264,2025-04-03 18:00:00,0.25,0.25,0.25
265,2025-04-03 18:15:00,0.25,0.25,0.25
266,2025-04-03 18:30:00,0.25,0.25,0.25
267,2025-04-03 18:45:00,0.25,0.25,0.25
268,2025-04-03 19:00:00,0.25,0.25,0.25
269,2025-04-03 19:15:00,0.25,0.25,0.25
270,2025-04-03 19:30:00,0.25,0.25,0.25
271,2025-04-03 19:45:00,0.25,0.25,0.25
272,2025-04-03 20:00:00,0.25,0.25,0.25
273,2025-04-03 20:15:00,0.25,0.25,0.25
274,2025-04-03 20:30:00,0.25,0.25,0.25
275,2025-04-03 20:45:00,0.25,0.25,0.25
276,2025-04-03 21:00:00,0.25,0.25,0.25
277,2025-04-03 21:15:00,0.25,0.25,0.25
278,2025-04-03 21:30:00,0.25,0.25,0.25
279,2025-04-03 21:45:00,0.25,0.25,0.25
280,2025-04-03 22:00:00,0.25,0.25,0.25
281,2025-04-03 22:15:00,0.25,0.25,0.25
282,2025-04-03 22:30:00,0.25,0.25,0.25
283,2025-04-03 22:45:00,0.25,0.25,0.25
284,2025-04-03 23:00:00,0.25,0.25,0.25
285,2025-04-03 23:15:00,0.25,0.25,0.25
286,2025-04-03 23:30:00,0.25,0.25,0.25
287,2025-04-03 23:45:00,0.25,0.25,0.25
288,2025-04-04 00:00:00,0.25,0.25,0.25
289,2025-04-04 00:15:00,0.25,0.25,0.25
290,2025-04-04 00:30:00,0.25,0.25,0.25
291,2025-04-04 00:45:00,0.25,0.25,0.25
292,2025-04-04 01:00:00,0.25,0.25,0.25
293,2025-04-04 01:15:00,0.25,0.25,0.25
294,2025-04-04 01:30:00,0.25,0.25,0.25
295,2025-04-04 01:45:00,0.25,0.25,0.25
296,2025-04-04 02:00:00,0.25,0.25,0.25
297,2025-04-04 02:15:00,0.25,0.25,0.25
298,2025-04-04 02:30:00,0.25,0.25,0.25
299,2025-04-04 02:45:00,0.25,0.25,0.25
300,2025-04-04 03:00:00,0.25,0.25,0.25
301,2025-04-04 03:15:00,0.25,0.25,0.25
302,2025-04-04 03:30:00,0.25,0.25,0.25
303,2025-04-04 03:45:00,0.25,0.25,0.25
304,2025-04-04 04:00:00,0.25,0.25,0.25
305,2025-04-04 04:15:00,0.25,0.25,0.25
306,2025-04-04 04:30:00,0.25,0.25,0.25
307,2025-04-04 04:45:00,0.25,0.25,0.25
308,2025-04-04 05:00:00,0.25,0.25,0.25
309,2025-04-04 05:15:00,0.25,0.25,0.25
310,2025-04-04 05:30:00,0.25,0.25,0.25
311,2025-04-04 05:45:00,0.25,0.25,0.25
312,2025-04-04 06:00:00,0.25,0.25,0.25
313,2025-04-04 06:15:00,0.25,0.25,0.25
314,2025-04-04 06:30:00,0.25,0.25,0.25
315,2025-04-04 06:45:00,0.25,0.25,0.25
316,2025-04-04 07:00:00,0.25,0.25,0.25
317,2025-04-04 07:15:00,0.25,0.25,0.25
318,2025-04-04 07:30:00,0.25,0.25,0.25
319,2025-04-04 07:45:00,0.25,0.25,0.25
320,2025-04-04 08:00:00,0.25,0.25,0.25
321,2025-04-04 08:15:00,0.25,0.25,0.25
322,2025-04-04 08:30:00,0.25,0.25,0.25
323,2025-04-04 08:45:00,0.25,0.25,0.25
324,2025-04-04 09:00:00,0.25,0.25,0.25
325,2025-04-04 09:15:00,0.25,0.25,0.25
326,2025-04-04 09:30:00,0.25,0.25,0.25
327,2025-04-04 09:45:00,0.25,0.25,0.25
328,2025-04-04 10:00:00,0.25,0.25,0.25
329,2025-04-04 10:15:00,0.25,0.25,0.25
330,2025-04-04 10:30:00,0.25,0.25,0.25
331,2025-04-04 10:45:00,0.25,0.25,0.25
332,2025-04-04 11:00:00,0.25,0.25,0.25
333,2025-04-04 11:15:00,0.25,0.25,0.25
334,2025-04-04 11:30:00,0.25,0.25,0.25
335,2025-04-04 11:45:00,0.25,0.25,0.25
336,2025-04-04 12:00:00,0.25,0.25,0.25
337,2025-04-04 12:15:00,0.25,0.25,0.25
338,2025-04-04 12:30:00,0.25,0.25,0.25
339,2025-04-04 12:45:00,0.25,0.25,0.25
340,2025-04-04 13:00:00,0.25,0.25,0.25
341,2025-04-04 13:15:00,0.25,0.25,0.25
342,2025-04-04 13:30:00,0.25,0.25,0.25
343,2025-04-04 13:45:00,0.25,0.25,0.25
344,2025-04-04 14:00:00,0.25,0.25,0.25
345,2025-04-04 14:15:00,0.25,0.25,0.25
346,2025-04-04 14:30:00,0.25,0.25,0.25
347,2025-04-04 14:45:00,0.25,0.25,0.25
348,2025-04-04 15:00:00,0.25,0.25,0.25
349,2025-04-04 15:15:00,0.25,0.25,0.25
350,2025-04-04 15:30:00,0.25,0.25,0.25
351,2025-04-04 15:45:00,0.25,0.25,0.25
352,2025-04-04 16:00:00,0.25,0.25,0.25
353,2025-04-04 16:15:00,0.25,0.25,0.25
354,2025-04-04 16:30:00,0.25,0.25,0.25
355,2025-04-04 16:45:00,0.25,0.25,0.25
356,2025-04-04 17:00:00,0.25,0.25,0.25
357,2025-04-04 17:15:00,0.25,0.25,0.25
358,2025-04-04 17:30:00,0.25,0.25,0.25
359,2025-04-04 17:45:00,0.25,0.25,0.25
360,2025-04-04 18:00:00,0.25,0.25,0.25
361,2025-04-04 18:15:00,0.25,0.25,0.25
362,2025-04-04 18:30:00,0.25,0.25,0.25
363,2025-04-04 18:45:00,0.25,0.25,0.25
364,2025-04-04 19:00:00,0.25,0.25,0.25
365,2025-04-04 19:15:00,0.25,0.25,0.25
366,2025-04-04 19:30:00,0.25,0.25,0.25
367,2025-04-04 19:45:00,0.25,0.25,0.25
368,2025-04-04 20:00:00,0.25,0.25,0.25
369,2025-04-04 20:15:00,0.25,0.25,0.25
370,2025-04-04 20:30:00,0.25,0.25,0.25
371,2025-04-04 20:45:00,0.25,0.25,0.25
372,2025-04-04 21:00:00,0.25,0.25,0.25
373,2025-04-04 21:15:00,0.25,0.25,0.25
374,2025-04-04 21:30:00,0.25,0.25,0.25
375,2025-04-04 21:45:00,0.25,0.25,0.25
376,2025-04-04 22:00:00,0.25,0.25,0.25
377,2025-04-04 22:15:00,0.25,0.25,0.25
378,2025-04-04 22:30:00,0.25,0.25,0.25
379,2025-04-04 22:45:00,0.25,0.25,0.25
380,2025-04-04 23:00:00,0.25,0.25,0.25
381,2025-04-04 23:15:00,0.25,0.25,0.25
382,2025-04-04 23:30:00,0.25,0.25,0.25
383,2025-04-04 23:45:00,0.25,0.25,0.25
384,2025-04-05 00:00:00,0.25,0.25,0.25
385,2025-04-05 00:15:00,0.25,0.25,0.25
386,2025-04-05 00:30:00,0.25,0.25,0.25
387,2025-04-05 00:45:00,0.25,0.25,0.25
388,2025-04-05 01:00:00,0.25,0.25,0.25
389,2025-04-05 01:15:00,0.25,0.25,0.25
390,2025-04-05 01:30:00,0.25,0.25,0.25
391,2025-04-05 01:45:00,0.25,0.25,0.25
392,2025-04-05 02:00:00,0.25,0.25,0.25
393,2025-04-05 02:15:00,0.25,0.25,0.25
394,2025-04-05 02:30:00,0.25,0.25,0.25
395,2025-04-05 02:45:00,0.25,0.25,0.25
396,2025-04-05 03:00:00,0.25,0.25,0.25
397,2025-04-05 03:15:00,0.25,0.25,0.25
398,2025-04-05 03:30:00,0.25,0.25,0.25
399,2025-04-05 03:45:00,0.25,0.25,0.25
400,2025-04-05 04:00:00,0.25,0.25,0.25
401,2025-04-05 04:15:00,0.25,0.25,0.25
402,2025-04-05 04:30:00,0.25,0.25,0.25
403,2025-04-05 04:45:00,0.25,0.25,0.25
404,2025-04-05 05:00:00,0.25,0.25,0.25
405,2025-04-05 05:15:00,0.25,0.25,0.25
406,2025-04-05 05:30:00,0.25,0.25,0.25
407,2025-04-05 05:45:00,0.25,0.25,0.25
408,2025-04-05 06:00:00,0.25,0.25,0.25
409,2025-04-05 06:15:00,0.25,0.25,0.25
410,2025-04-05 06:30:00,0.25,0.25,0.25
411,2025-04-05 06:45:00,0.25,0.25,0.25
412,2025-04-05 07:00:00,0.25,0.25,0.25
413,2025-04-05 07:15:00,0.25,0.25,0.25
414,2025-04-05 07:30:00,0.25,0.25,0.25
415,2025-04-05 07:45:00,0.25,0.25,0.25
416,2025-04-05 08:00:00,0.25,0.25,0.25
417,2025-04-05 08:15:00,0.25,0.25,0.25
418,2025-04-05 08:30:00,0.25,0.25,0.25
419,2025-04-05 08:45:00,0.25,0.25,0.25
420,2025-04-05 09:00:00,0.25,0.25,0.25
421,2025-04-05 09:15:00,0.25,0.25,0.25
422,2025-04-05 09:30:00,0.25,0.25,0.25
423,2025-04-05 09:45:00,0.25,0.25,0.25
424,2025-04-05 10:00:00,0.25,0.25,0.25
425,2025-04-05 10:15:00,0.25,0.25,0.25
426,2025-04-05 10:30:00,0.25,0.25,0.25
427,2025-04-05 10:45:00,0.25,0.25,0.25
428,2025-04-05 11:00:00,0.25,0.25,0.25
429,2025-04-05 11:15:00,0.25,0.25,0.25
430,2025-04-05 11:30:00,0.25,0.25,0.25
431,2025-04-05 11:45:00,0.25,0.25,0.25
432,2025-04-05 12:00:00,0.25,0.25,0.25
433,2025-04-05 12:15:00,0.25,0.25,0.25
434,2025-04-05 12:30:00,0.25,0.25,0.25
435,2025-04-05 12:45:00,0.25,0.25,0.25
436,2025-04-05 13:00:00,0.25,0.25,0.25
437,2025-04-05 13:15:00,0.25,0.25,0.25
438,2025-04-05 13:30:00,0.25,0.25,0.25
439,2025-04-05 13:45:00,0.25,0.25,0.25
440,2025-04-05 14:00:00,0.25,0.25,0.25
441,2025-04-05 14:15:00,0.25,0.25,0.25
442,2025-04-05 14:30:00,0.25,0.25,0.25
443,2025-04-05 14:45:00,0.25,0.25,0.25
444,2025-04-05 15:00:00,0.25,0.25,0.25
445,2025-04-05 15:15:00,0.25,0.25,0.25
446,2025-04-05 15:30:00,0.25,0.25,0.25
447,2025-04-05 15:45:00,0.25,0.25,0.25
448,2025-04-05 16:00:00,0.25,0.25,0.25
449,2025-04-05 16:15:00,0.25,0.25,0.25
450,2025-04-05 16:30:00,0.25,0.25,0.25
