date,coal,oil_gas,nuclear,hydro,solar,wind,comparable_total,other_res,system_plant_generation,market_import,unserved_energy,objective,solver_status,termination_condition,runtime_seconds,max_nodal_residual_mw,max_corridor_loading_pct,most_loaded_corridor,fiscal_week
2025-08-14,161.88129396541183,0.0,35.83917354120941,27.971125483687413,57.509726958052546,65.31372651074109,348.51504645910234,0.7195347255949486,349.2345811846973,2.8886196306156724,0.0,616527598.1692255,ok,optimal,59.36735929999941,8.481038094032556e-11,100.0,chennai_north__vellore,20
2025-08-22,220.60392164267665,0.0,35.83917354120941,27.7518316828888,57.116597886077805,61.601535531611354,402.913060284464,2.164452530158104,405.07751281462214,3.9748013326653457,0.0,807456016.3147371,ok,optimal,40.87021610000011,2.5459030439378694e-09,100.0,chennai_north__vellore,21
2025-08-26,208.84968319030824,0.0,35.83917354120941,29.165683164499338,56.90523420904411,63.576751095199214,394.3365252002603,2.362546066143985,396.6990712664043,4.368961569651763,0.0,777533983.5224934,ok,optimal,41.125934400000006,3.410605131648481e-12,100.0,chennai_north__vellore,22
2025-09-05,223.17174481190514,0.0,35.83917354120941,26.831054351625948,61.97381160579086,53.23778568573532,401.0535699962667,3.9571758263226604,405.01074582258934,3.9871337147859154,0.0,828181300.851248,ok,optimal,41.67219980000027,3.183231456205249e-12,100.0,chennai_north__vellore,23
2025-09-09,210.4349707927541,0.0,35.83917354120941,26.464514799830457,61.71126461773769,55.00137101036721,389.4512947618989,1.3130405784140644,390.764335340313,4.079888894077822,0.0,788087738.6284285,ok,optimal,38.560400299999856,2.637534635141492e-11,100.0,chennai_north__vellore,24
2025-09-16,207.26927662812784,0.0,35.83917354120941,26.224204365988445,61.237349033142884,49.92332945436936,380.493333022838,2.882379814706215,383.37571283754414,4.255519250519773,0.0,783792266.8458467,ok,optimal,27.546470899999804,5.9117155615240335e-12,100.0,chennai_north__vellore,25
2025-09-25,196.47478572968078,0.0,35.83917354120941,26.57209283046303,60.6098848279734,49.92332945436936,369.419266383696,0.6681393880524484,370.0874057717484,3.8250069594764087,0.0,727448979.7267687,ok,optimal,42.251946000000316,2.7284841053187847e-12,100.0,chennai_north__vellore,26
2025-09-30,191.91428060579847,0.0,35.83917354120941,25.601922076767497,60.257380201098215,59.46692581080018,373.0796822356738,2.1170813932243417,375.1967636288981,3.666192537865979,0.0,717768225.7028583,ok,optimal,33.033373700000084,4.092726157978177e-12,100.0,chennai_north__vellore,27
2025-10-08,205.02765563768008,0.0,35.83917354120941,21.087599100122052,63.76594420180781,48.06353005309207,373.78390253391143,0.796834137060561,374.580736670972,3.8920856646664386,0.0,771124742.1765199,ok,optimal,34.325474600000234,4.092726157978177e-12,100.0,chennai_north__vellore,28
2025-10-14,193.55575656163995,0.0,35.83917354120941,21.327313440350892,63.32455559068393,41.34953182320108,355.39633095708524,0.5396510441962099,355.93598200128145,3.7975693256931913,0.0,729358976.7270434,ok,optimal,23.77256649999981,1.8985701899509877e-11,100.0,chennai_north__vellore,29
2025-10-25,148.60077265844336,0.0,35.83917354120941,21.476654914620045,62.55389123500556,46.65266179338648,315.1231541426649,0.5396510441962101,315.6628051868611,2.5948168281772945,0.0,581932543.6072981,ok,optimal,31.43378489999941,2.7284841053187847e-12,100.0,chennai_north__vellore,30
