fiscal_week,date,technology,observed_mu,modeled_mu,error_mu,absolute_error_mu,percentage_error
15,2025-07-09,solar,46.54,57.21252809651224,10.672528096512238,10.672528096512238,22.931946919880183
15,2025-07-09,wind,137.09,67.64635960041042,-69.44364039958958,69.44364039958958,-50.655511269669255
15,2025-07-09,comparable_total,432.23,431.22301632120286,-1.0069836787971553,1.0069836787971553,-0.23297403669276898
16,2025-07-16,coal,151.3,239.53837380331186,88.23837380331184,88.23837380331184,58.32014131084721
16,2025-07-16,oil_gas,3.56,0.0,-3.56,3.56,-100.0
16,2025-07-16,nuclear,54.03,35.83917354120941,-18.19082645879059,18.19082645879059,-33.668011213752706
16,2025-07-16,hydro,25.37,28.81764444728604,3.447644447286038,3.447644447286038,13.589453871840906
16,2025-07-16,solar,38.28,57.07374054289854,18.79374054289854,18.79374054289854,49.0954559636848
16,2025-07-16,wind,143.33,59.95682114364151,-83.37317885635849,83.37317885635849,-58.16868684599071
16,2025-07-16,comparable_total,415.87,421.2257534783473,5.35575347834731,5.35575347834731,1.287843190984517
17,2025-07-26,coal,162.42,195.4459631730982,33.025963173098205,33.025963173098205,20.33368007209593
17,2025-07-26,oil_gas,3.85,0.0,-3.85,3.85,-100.0
17,2025-07-26,nuclear,53.31,35.83917354120941,-17.47082645879059,17.47082645879059,-32.772137420353765
17,2025-07-26,hydro,30.36,27.847563325602188,-2.5124366743978115,2.5124366743978115,-8.275483117252344
17,2025-07-26,solar,32.35,56.80318041275896,24.45318041275896,24.45318041275896,75.5894294057464
17,2025-07-26,wind,170.84,63.80159037202592,-107.03840962797409,107.03840962797409,-62.65418498476591
17,2025-07-26,comparable_total,453.13,379.73747082469475,-73.39252917530524,73.39252917530524,-16.19679323269376
18,2025-07-31,coal,165.11,242.14174776042307,77.03174776042306,77.03174776042306,46.65480453056935
18,2025-07-31,oil_gas,3.79,0.0,-3.79,3.79,-100.0
18,2025-07-31,nuclear,52.14,35.83917354120941,-16.30082645879059,16.30082645879059,-31.26357203450439
18,2025-07-31,hydro,31.62,28.877847083067863,-2.742152916932138,2.742152916932138,-8.672210363479248
18,2025-07-31,solar,47.75,56.63726234577146,8.887262345771461,8.887262345771461,18.61206773983552
18,2025-07-31,wind,134.39,61.75583139545295,-72.63416860454703,72.63416860454703,-54.04730158832282
18,2025-07-31,comparable_total,434.8,425.2518621259248,-9.548137874075223,9.548137874075223,-2.195983871682434
19,2025-08-08,coal,188.1,201.27795978115523,13.177959781155238,13.177959781155238,7.005826571587048
19,2025-08-08,oil_gas,3.83,0.0,-3.83,3.83,-100.0
19,2025-08-08,nuclear,29.95,35.83917354120941,5.889173541209413,5.889173541209413,19.66335072190121
19,2025-08-08,hydro,29.05,28.289748331041743,-0.7602516689582579,0.7602516689582579,-2.617045332042196
19,2025-08-08,solar,43.35,57.776062066966055,14.426062066966054,14.426062066966054,33.2781131879263
19,2025-08-08,wind,68.27,63.576751095199135,-4.6932489048008605,4.6932489048008605,-6.874540654461493
19,2025-08-08,comparable_total,362.55,386.7596948155716,24.209694815571595,24.209694815571595,6.677615450440379
