date,coal,oil_gas,nuclear,hydro,solar,wind,diesel,other_res,market_import,unserved_energy,system_plant_generation,comparable_total
2025-07-15,210.22901778607493,3.330000000000001,54.18,28.08748160363294,57.96776380568743,58.57763422800221,0.0,0.6938370568236982,2.7867185864676767,0.0,413.06573448022124,412.3718974233975
2025-07-16,221.86251378315174,3.560000000000001,54.03,29.004048765358668,57.945000451272364,60.64694044626208,0.0,0.6938370568236982,0.015573129886190145,0.0,427.74234050286856,427.04850344604483
2025-07-17,203.0454996982899,3.4000000000000004,53.99,28.81207674685969,57.92136866929225,64.53596401315255,0.0,0.6938370568236982,0.527181473676686,0.0,412.39874618441814,411.7049091275944
2025-07-18,192.77658364166825,3.600000000000001,54.0,28.804345625995538,57.896872404118156,68.42498758004285,0.0,0.6938370568236982,0.36730935143869464,0.0,406.1966263086485,405.50278925182477
2025-07-19,162.3825781049614,3.8300000000000014,54.02,28.07370534871305,57.87151576692447,70.49429379830275,0.0,0.6938370568236982,0.5835821665837052,0.0,377.36593007572543,376.6720930189017
2025-07-20,131.97113330712855,3.810000000000002,54.05,28.78191747526288,57.84530303743242,69.77563129063142,0.0,0.6938370568236982,0.38499570888965534,0.0,346.927822167279,346.23398511045525
2025-07-21,156.1461057393256,3.5000000000000018,53.86,28.16991086968544,57.81823866569681,66.60527023141233,0.0,0.6938370568236982,0.6070624638245774,0.0,366.79336256294397,366.09952550612024
2025-07-22,165.8789837092668,3.640000000000001,53.95,28.08399996957961,57.790327273933634,62.466657794892676,0.0,0.6938370568236982,0.41123683353454565,0.0,372.5038058044965,371.80996874767277
2025-07-23,178.3466873470124,3.68,53.84,26.894385250943717,57.761573658385934,59.29629673567356,0.0,0.6938370568236982,0.12620995116071482,0.0,380.5127800488393,379.8189429920156
2025-07-24,182.5998775365716,3.5300000000000016,53.61,27.75228343121231,57.73198279122582,58.57763422800222,0.0,0.6938370568236982,0.3786942223136843,0.0,384.4956150438357,383.801777987012
2025-07-25,176.45851440882473,3.7800000000000007,53.47,28.80698785110042,57.701559822489465,60.646940446261986,0.0,0.6938370568236982,0.8526836125381648,0.0,381.5578395855003,380.86400252867656
2025-07-26,175.83638452434664,3.850000000000002,53.31,28.601950229957207,57.670310082042924,64.53596401315241,0.0,0.6938370568236982,1.061215666676864,0.0,384.4984459063229,383.8046088494992
2025-07-27,139.51910863326134,3.7800000000000007,53.04,28.93123785915483,57.63823908157542,68.42498758004288,0.0,0.6938370568236982,2.1173902526448365,0.0,352.02741021085814,351.3335731540344
2025-07-28,183.19014295083292,3.8900000000000015,52.77,29.42448837595443,57.6053525166178,70.49429379830276,0.0,0.6938370568236982,1.5816068744681342,0.0,398.06811469853164,397.3742776417079
2025-07-29,197.48272037611557,3.8800000000000012,52.76,27.979180310328044,57.57165626858244,69.7756312906314,0.0,0.6938370568236982,0.07483469751884922,0.0,410.14302530248113,409.4491882456574
2025-07-30,217.99695472527537,3.8600000000000008,52.41,28.544581579666424,57.53715640682219,66.60527023141229,0.0,0.6938370568236982,0.0,0.0,427.6478,426.9539629431763
2025-07-31,227.52319794518505,3.790000000000001,52.14,28.277875411940393,57.501859190704565,62.466657794892626,0.0,0.6938370568236982,0.01672157369324782,0.0,432.39342739954634,431.6995903427226
2025-08-01,241.54498433514755,3.830000000000001,32.28,28.974413427397817,58.93925238122897,57.25159684823661,0.0,0.7195347255949461,0.0,0.0,423.5397817176059,422.82024699201094
2025-08-02,223.4312417617313,4.260000000000002,29.83,27.24402318003943,58.90143455945471,56.55771580634697,0.0,0.7195347255949461,0.0,0.0,400.9439500331673,400.2244153075724
2025-08-03,171.9744002903209,4.340000000000001,29.86,27.696828453951177,58.86281938869427,58.555666637770216,0.0,0.7195347255949461,0.0,0.0,352.0092494963315,351.28971477073657
2025-08-04,179.2146514273939,4.0500000000000025,30.0,28.53626886416471,58.823414089830884,62.31058594373341,0.0,0.7195347255949461,0.0,0.0,363.65445505071784,362.9349203251229
2025-08-05,173.01204557608256,3.44,29.89,26.768271004752403,58.31061137786133,66.06174100293075,0.0,0.7172978018079242,0.6736023537201277,0.0,358.199966763435,357.48266896162704
2025-08-06,182.79641238370834,3.5100000000000025,29.91,29.20770351593213,58.74226302167711,68.0634560811199,0.0,0.7195347255949461,0.5341221010353472,0.0,372.9493697280324,372.2298350024375
2025-08-07,195.42750196424566,3.6700000000000013,29.91,30.14985060086223,58.700532730935855,67.3695750392303,0.0,0.7195347255949461,1.8226004149723856,0.0,385.94699506086897,385.22746033527403
2025-08-08,204.32004498768865,3.830000000000002,29.95,29.738231668377935,58.65804327345153,64.30853677515681,0.0,0.7195347255949461,1.060595149362849,0.0,391.5243914302699,390.80485670467493
