name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
mettur_dam_hydroelectric_power_project__unit_01,Erode,12.5,0.0,1.0,,38320.76308784384,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_02,Erode,12.5,0.0,1.0,,38320.76308784384,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_03,Erode,12.5,0.0,1.0,,38320.76308784384,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_dam_hydroelectric_power_project__unit_04,Erode,12.5,0.0,1.0,,38320.76308784384,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_01,Erode,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_02,Erode,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_03,Erode,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
mettur_tunnel__unit_04,Erode,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_01,Coimbatore,14.0,0.0,1.0,,42919.25465838509,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_02,Coimbatore,14.0,0.0,1.0,,42919.25465838509,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
moyar_power_house__unit_03,Coimbatore,12.0,0.0,1.0,,36787.93256433008,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_01,Tirunelveli,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_02,Tirunelveli,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_03,Tirunelveli,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
papanasam_hydroelectric_power_project__unit_04,Tirunelveli,8.0,0.0,1.0,,24525.28837622005,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
parson_s_valley_hydroelectric_power_project__unit_01,Coimbatore,30.0,0.0,1.0,,91969.8314108252,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_01,Madurai,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_02,Madurai,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_03,Madurai,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
periyar_hydroelectric_power_project__unit_04,Madurai,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_01,Coimbatore,7.0,0.0,1.0,,21459.627329192543,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_02,Coimbatore,7.0,0.0,1.0,,21459.627329192543,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_03,Coimbatore,7.0,0.0,1.0,,21459.627329192543,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_04,Coimbatore,13.6,0.0,1.0,,41692.99023957409,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_05,Coimbatore,13.6,0.0,1.0,,41692.99023957409,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_06,Coimbatore,11.0,0.0,1.0,,33722.27151730257,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_01,Coimbatore,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_02,Coimbatore,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_03,Coimbatore,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sarkarpathy_hydroelectric_power_project__unit_01,Coimbatore,30.0,0.0,1.0,,91969.8314108252,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sholayar_i_power_house__unit_01,Coimbatore,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sholayar_i_power_house__unit_02,Coimbatore,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
suruliyar_hydroelectric_power_project__unit_01,Madurai,35.0,0.0,1.0,,107298.13664596272,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ariyalur__aggregate_01,Trichy,22.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_chennai__aggregate_01,Chennai North,3.125,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_coimbatore__aggregate_01,Coimbatore,2260.1875,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dharmapuri__aggregate_01,Vellore,196.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dindigul__aggregate_01,Madurai,635.2675,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_erode__aggregate_01,Erode,129.33,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kancheepuram__aggregate_01,Chennai South,7.65,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kanniyakumari__aggregate_01,Tirunelveli,349.125,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_karur__aggregate_01,Trichy,589.1025000000009,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a__aggregate_01__tirunelveli,Tirunelveli,84.4515695562766,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a__aggregate_01__coimbatore,Coimbatore,195.0471897426504,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a__aggregate_01__villupuram,Villupuram,0.011240701072977886,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ramanathapuram__aggregate_01,Madurai,17.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_salem__aggregate_01,Erode,3.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_thanjavur__aggregate_01,Trichy,8.8,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_theni__aggregate_01,Madurai,574.6,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
