name,bus0,bus1,p_nom,p_min_pu,efficiency,carrier,marginal_cost,bus2,efficiency2
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_09,water_upper_bhavani,Coimbatore,20.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
kundah_turbine__kundah_i_to_v_hydroelectric_power_project__unit_15,water_upper_bhavani,Coimbatore,20.0,0.0,1.0,hydro_turbine,0.0,water_kundah_pondage,1.0
parsons_valley_turbine__parson_s_valley_hydroelectric_power_project__unit_01,water_kundah_pondage,Coimbatore,30.0,0.0,1.0,hydro_turbine,0.0,water_kundah_downstream,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_01,water_pykara,Coimbatore,7.0,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_02,water_pykara,Coimbatore,7.0,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_03,water_pykara,Coimbatore,7.0,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_04,water_pykara,Coimbatore,13.6,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_05,water_pykara,Coimbatore,13.6,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pykara_turbine__pykara_hydroelectric_power_project__unit_06,water_pykara,Coimbatore,11.0,0.0,1.0,hydro_turbine,0.0,water_glenmorgan_forebay,1.0
pushep_turbine__pykara_ultimate_hydroelectric_power_project__unit_01,water_glenmorgan_forebay,Coimbatore,50.0,0.0,1.0,hydro_turbine,0.0,water_moyar_pondage,1.0
pushep_turbine__pykara_ultimate_hydroelectric_power_project__unit_02,water_glenmorgan_forebay,Coimbatore,50.0,0.0,1.0,hydro_turbine,0.0,water_moyar_pondage,1.0
pushep_turbine__pykara_ultimate_hydroelectric_power_project__unit_03,water_glenmorgan_forebay,Coimbatore,50.0,0.0,1.0,hydro_turbine,0.0,water_moyar_pondage,1.0
moyar_turbine__moyar_power_house__unit_01,water_moyar_pondage,Coimbatore,14.0,0.0,1.0,hydro_turbine,0.0,water_pykara_downstream,1.0
moyar_turbine__moyar_power_house__unit_02,water_moyar_pondage,Coimbatore,14.0,0.0,1.0,hydro_turbine,0.0,water_pykara_downstream,1.0
moyar_turbine__moyar_power_house__unit_03,water_moyar_pondage,Coimbatore,12.0,0.0,1.0,hydro_turbine,0.0,water_pykara_downstream,1.0
papanasam_servalar_transfer_tunnel,water_papanasam_reservoir,water_servalar_reservoir,20.0,0.0,1.0,water_transfer,0.0,,
papanasam_direct_release,water_papanasam_reservoir,water_papanasam_lower_pondage,100.0,0.0,1.0,water_transfer,0.0,,
papanasam_lower_pondage_bypass,water_papanasam_lower_pondage,water_papanasam_downstream_river,100.0,0.0,1.0,water_spill,0.0,,
servalar_turbine__servalar_small_hydro_project__unit_01,water_servalar_reservoir,Tirunelveli,20.0,0.0,1.0,hydro_turbine,0.0,water_papanasam_lower_pondage,1.0
papanasam_turbine__papanasam_hydroelectric_power_project__unit_01,water_papanasam_lower_pondage,Tirunelveli,8.0,0.0,1.0,hydro_turbine,0.0,water_papanasam_downstream_river,1.0
papanasam_turbine__papanasam_hydroelectric_power_project__unit_02,water_papanasam_lower_pondage,Tirunelveli,8.0,0.0,1.0,hydro_turbine,0.0,water_papanasam_downstream_river,1.0
papanasam_turbine__papanasam_hydroelectric_power_project__unit_03,water_papanasam_lower_pondage,Tirunelveli,8.0,0.0,1.0,hydro_turbine,0.0,water_papanasam_downstream_river,1.0
papanasam_turbine__papanasam_hydroelectric_power_project__unit_04,water_papanasam_lower_pondage,Tirunelveli,8.0,0.0,1.0,hydro_turbine,0.0,water_papanasam_downstream_river,1.0
