component_type,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size,component_id,original_component_id,bus,allocated_districts,allocation_method,allocation_confidence,allocation_source_url,allocation_notes,allocation_share,original_capacity_mw
Generator,20.0,unit,1.0,Coal,Neyveli (EXT) TPS II,Tamil Nadu,Cuddalore,2012-02-04,250.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_ext_tps_ii__unit_01,neyveli_ext_tps_ii__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,250.0
Generator,21.0,unit,2.0,Coal,Neyveli (EXT) TPS II,Tamil Nadu,Cuddalore,2015-01-24,250.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_ext_tps_ii__unit_02,neyveli_ext_tps_ii__unit_02,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,250.0
Generator,22.0,unit,1.0,Coal,Neyveli (New) TPP /Neyveli Extension,Tamil Nadu,Cuddalore,2019-12-01,500.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_new_tpp_neyveli_extension__unit_01,neyveli_new_tpp_neyveli_extension__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,23.0,unit,2.0,Coal,Neyveli (New) TPP /Neyveli Extension,Tamil Nadu,Cuddalore,2021-02-01,500.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_new_tpp_neyveli_extension__unit_02,neyveli_new_tpp_neyveli_extension__unit_02,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,500.0
Generator,24.0,unit,1.0,Coal,Neyveli TPS (Z),Tamil Nadu,Cuddalore,2002-10-01,250.0,ST-CMS Electric Company Pvt. Ltd.,1.0,neyveli_tps_z__unit_01,neyveli_tps_z__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,250.0
Generator,34.0,unit,3.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1988-01-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_03,neyveli_tps_ii__unit_03,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,35.0,unit,2.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1987-02-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_02,neyveli_tps_ii__unit_02,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,36.0,unit,1.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1986-03-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_01,neyveli_tps_ii__unit_01,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,37.0,unit,4.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1991-03-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_04,neyveli_tps_ii__unit_04,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,38.0,unit,5.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1991-12-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_05,neyveli_tps_ii__unit_05,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,39.0,unit,6.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1992-10-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_06,neyveli_tps_ii__unit_06,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
Generator,40.0,unit,7.0,Coal,Neyveli TPS II,Tamil Nadu,Cuddalore,1993-06-01,210.0,NLC India Limited (formerly Neyveli Lignite Corp. Ltd.),1.0,neyveli_tps_ii__unit_07,neyveli_tps_ii__unit_07,Villupuram,Cuddalore,District carried from original workbook,Existing,,No online correction applied because a single district was already provided.,1.0,210.0
