date,technology,modeled_mu,observed_mu,error_mu,error_pct
2025-07-04,wind,62.46665779489276,132.99,-70.52334220510724,-53.029056474251625
2025-07-04,comparable_total,410.7564292523099,435.39,-24.6335707476901,-5.657817301198948
2025-07-05,coal,206.8868211900653,166.66,40.226821190065294,24.137058196367033
2025-07-05,oil_gas,3.450000000000001,3.45,8.881784197001252e-16,2.5744302020293483e-14
2025-07-05,nuclear,54.01,54.01,0.0,0.0
2025-07-05,hydro,28.953181981541693,21.99,6.963181981541695,31.6652204708581
2025-07-05,solar,58.14688208635072,51.32,6.826882086350722,13.30257616202401
2025-07-05,wind,59.296296735673614,151.68,-92.38370326432639,-60.90697736308437
2025-07-05,comparable_total,410.7431819936313,449.11,-38.3668180063687,-8.542855426592306
2025-07-06,coal,181.05175695634873,159.35,21.70175695634873,13.61892498045104
2025-07-06,oil_gas,3.3999999999999995,3.4,-4.440892098500626e-16,-1.3061447348531254e-14
2025-07-06,nuclear,54.31,54.31,0.0,0.0
2025-07-06,hydro,28.916700706694613,22.3,6.616700706694612,29.671303617464627
2025-07-06,solar,58.13298440088402,49.37,8.762984400884022,17.74961393737902
2025-07-06,wind,58.57763422800224,162.99,-104.41236577199777,-64.06059621571738
2025-07-06,comparable_total,384.3890762919296,451.72,-67.33092370807043,-14.905455527333398
2025-07-07,coal,211.33444674937635,165.1,46.23444674937636,28.003904754316387
2025-07-07,oil_gas,3.7900000000000014,3.79,1.3322676295501878e-15,3.51521801992134e-14
2025-07-07,nuclear,54.09,54.09,0.0,0.0
2025-07-07,hydro,28.58755852977944,25.85,2.737558529779438,10.5901683937309
2025-07-07,solar,58.11818766980864,46.24,11.87818766980864,25.68812212328858
2025-07-07,wind,60.64694044626219,155.39,-94.7430595537378,-60.97114328704409
2025-07-07,comparable_total,416.5671333952266,450.46,-33.89286660477336,-7.52405687625391
2025-07-08,coal,209.87841643654932,171.04,38.83841643654932,22.707212603221073
2025-07-08,oil_gas,3.720000000000001,3.72,8.881784197001252e-16,2.3875763970433472e-14
2025-07-08,nuclear,54.11,54.11,0.0,0.0
2025-07-08,hydro,29.72986808004486,26.77,2.95986808004486,11.056660739801494
2025-07-08,solar,58.10249425437985,46.19,11.912494254379851,25.790201893006824
2025-07-08,wind,64.5359640131525,140.28,-75.7440359868475,-53.994893061624964
2025-07-08,comparable_total,420.0767427841265,442.11,-22.033257215873505,-4.983659545333402
2025-07-09,coal,222.06373334435472,166.39,55.67373334435473,33.45978324680254
2025-07-09,oil_gas,3.7500000000000013,3.75,1.3322676295501878e-15,3.552713678800501e-14
2025-07-09,nuclear,54.13,54.13,0.0,0.0
2025-07-09,hydro,28.30391231522872,24.33,3.9739123152287235,16.333383950796232
2025-07-09,solar,58.08590666804173,46.54,11.54590666804173,24.808566110962033
2025-07-09,wind,68.42498758004282,137.09,-68.66501241995718,-50.08754279667166
2025-07-09,comparable_total,434.758539907668,432.23,2.528539907668005,0.5849987061675508
2025-07-10,coal,213.09712952115206,172.64,40.45712952115207,23.434389203633035
2025-07-10,oil_gas,3.580000000000002,3.58,1.7763568394002505e-15,4.9618906128498615e-14
2025-07-10,nuclear,54.01,54.01,0.0,0.0
2025-07-10,hydro,28.942059932721275,24.53,4.412059932721274,17.98638374529667
2025-07-10,solar,58.06842757763108,44.03,14.038427577631076,31.883778282150978
2025-07-10,wind,70.49429379830275,107.23,-36.735706201697255,-34.25879530140563
2025-07-10,comparable_total,428.1919108298072,406.02,22.171910829807246,5.460792776170447
