date,reported_page_date,reservoir,full_depth_ft,full_capacity_mcft,current_level_ft,current_storage_mcft,current_inflow_cusec,current_outflow_cusec,last_year_level_ft,last_year_storage_mcft,source_url,date_validation,storage_fraction_gross,storage_fraction,inflow_mcft_per_day,outflow_mcft_per_day,current_storage_m3,full_capacity_m3,inflow_m3_per_day,outflow_m3_per_day,agriculture_storage_bcm,cwc_live_capacity_bcm,cwc_nonlive_offset_bcm,calibrated_live_storage_bcm,live_soc_fraction,live_capacity_source,soc_calibration_rule
2025-04-02,2025-04-02,BHAVANISAGAR,105.0,32800.0,76.47,13889.0,161.0,3600.0,48.94,4181.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.4234451219512195,0.4234451219512195,13.910400000000001,311.04,393292682.316288,928792568.2176001,393898.6628333568,8807671.963975681,0.39329268231628806,0.792,0.0,0.39329268231628806,0.49658166959127276,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-02,2025-04-02,AMARAVATHI,90.0,4047.0,47.77,1067.0,13.0,,46.2,995.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.2636520879663949,0.2636520879663949,1.1232,,30214075.313664,114598278.15782401,31805.4820921344,,0.030214075313664004,,0.0,,,,
2025-04-02,2025-04-02,Periyar,152.0,10570.0,113.0,1392.0,105.0,105.0,116.2,1943.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.13169347209082308,0.13169347209082308,9.072000000000001,9.072000000000001,39417050.456064,299309068.47744,256890.43228262404,256890.43228262404,0.039417050456064,,0.0,,,,
2025-04-02,2025-04-02,Vaigai,71.0,6091.0,56.43,2955.0,,722.0,61.68,3931.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.485142012805779,0.485142012805779,,62.3808,83676281.67936,172477912.591872,,1766427.5438862338,0.08367628167936,0.172,0.0,0.08367628167936,0.486490009763721,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-02,2025-04-02,Papanasam (TN EB Dam),143.0,5500.0,87.8,2436.0,76.0,300.0,64.3,1391.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.4429090909090909,0.4429090909090909,6.566400000000001,25.92,68979838.298112,155742656.256,185939.74146170882,733972.66366464,0.06897983829811201,,0.0,,,,
2025-04-02,2025-04-02,Manimuthar,118.0,5511.0,84.27,2499.0,105.0,,92.44,3130.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.45345672291780076,0.45345672291780076,9.072000000000001,,70763799.63340801,156054141.56851202,256890.43228262404,,0.07076379963340801,0.156,0.0,0.07076379963340801,0.4536141002141539,CWC static live capacity,Agriculture storage clipped to CWC live capacity
2025-04-02,2025-04-02,Pechiparai,48.0,4350.0,29.15,1959.0,156.0,,42.13,3495.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.4503448275862069,0.4503448275862069,13.4784,,55472702.473728,123178282.6752,381665.7851056128,,0.05547270247372801,,0.0,,,,
2025-04-02,2025-04-02,Perunchani,77.0,2890.0,25.45,198.0,30.0,22.0,47.95,795.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.0685121107266436,0.0685121107266436,2.592,1.9008,5606735.625216001,81835686.65088001,73397.26636646401,53824.6620020736,0.005606735625216,,0.0,,,,
2025-04-02,2025-04-02,Krishnagiri,52.0,1666.0,48.15,1252.0,81.0,171.0,43.4,834.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.751500600240096,0.751500600240096,6.9984,14.7744,35452691.933184005,47175866.422272004,198172.61918945282,418364.4182888448,0.035452691933184004,,0.0,,,,
2025-04-02,2025-04-02,Sathanur,119.0,7321.0,99.9,3739.0,,520.0,89.15,2358.0,https://tnagriculture.in/ARS/home/reservoir/2025-04-02,verified,0.5107225788826663,0.5107225788826663,,44.928000000000004,105876689.407488,207307633.900032,,1272219.2836853762,0.10587668940748801,0.207,0.0,0.10587668940748801,0.5114815913405218,CWC static live capacity,Agriculture storage clipped to CWC live capacity
