sheet,cell,kind,file_a_value,file_b_value
PlantInfo,E282,changed,Kancheepuram,Tirunelveli
PlantInfo,F282,changed,1984-01-27,2027-08-21
PlantInfo,G282,changed,220,1000
PlantInfo,F283,changed,1986-03-21,1984-01-27
PlantInfo,A284,changed,Small-Hydro,Nuclear
PlantInfo,C284,changed,Aliyar Mini Hydel Project,Madras Atomic Power Station
PlantInfo,E284,changed,Coimbatore,Kancheepuram
PlantInfo,F284,changed,2002-09-23,1986-03-21
PlantInfo,G284,changed,1.25,220
PlantInfo,H284,changed,Tamil Nadu Generation and Distribution Corp. Ltd. (TANGEDCO),Nuclear Power Corporation of India
PlantInfo,C286,changed,Amaravathi Small Hydro Project,Aliyar Mini Hydel Project
PlantInfo,F286,changed,2006-09-21,2002-09-23
PlantInfo,G286,changed,2,1.25
PlantInfo,F287,changed,2006-11-30,2006-09-21
PlantInfo,C288,changed,Bhavani Barrage I Small Hydro Electric Project,Amaravathi Small Hydro Project
PlantInfo,F288,changed,2009-07-01,2006-11-30
PlantInfo,G288,changed,5,2
PlantInfo,C290,changed,Bhavani Barrage II Small Hydro Electric Project,Bhavani Barrage I Small Hydro Electric Project
PlantInfo,F290,changed,N.A.,2009-07-01
PlantInfo,C292,changed,Lower Bhavani Micro Hydel Project,Bhavani Barrage II Small Hydro Electric Project
PlantInfo,E292,changed,Erode,Coimbatore
PlantInfo,F292,changed,1990-05-26,N.A.
PlantInfo,G292,changed,2,5
PlantInfo,F293,changed,1990-04-17,1990-05-26
PlantInfo,F294,changed,1990-04-11,1990-04-17
PlantInfo,F295,changed,1990-04-03,1990-04-11
PlantInfo,C296,changed,Lower Bhavani Right Bank Canal Project,Lower Bhavani Micro Hydel Project
PlantInfo,F296,changed,1998-02-10,1990-04-03
PlantInfo,G296,changed,4,2
PlantInfo,F297,changed,1998-02-28,1998-02-10
PlantInfo,C298,changed,Maravakandy Small Hydro Project,Lower Bhavani Right Bank Canal Project
PlantInfo,E298,changed,Nilgiris,Erode
PlantInfo,F298,changed,1992-10-14,1998-02-28
PlantInfo,G298,changed,0.75,4
PlantInfo,C299,changed,Mukurthy Small Hydro Project,Maravakandy Small Hydro Project
PlantInfo,F299,changed,2001-06-27,1992-10-14
PlantInfo,G299,changed,0.35,0.75
PlantInfo,F300,changed,2003-01-01,2001-06-27
PlantInfo,C301,changed,Periyar Vaigai Mini I Hydro Project,Mukurthy Small Hydro Project
PlantInfo,E301,changed,Kanniyakumari,Nilgiris
PlantInfo,F301,changed,2010-10-02,2003-01-01
PlantInfo,G301,changed,2,0.35
PlantInfo,F302,changed,2011-01-21,2010-10-02
PlantInfo,C303,changed,Periyar Vaigai Mini II Hydro Project,Periyar Vaigai Mini I Hydro Project
PlantInfo,G303,changed,1.25,2
PlantInfo,F304,changed,2012-01-30,2011-01-21
PlantInfo,C305,changed,Periyar Vaigai Mini III Hydro Project,Periyar Vaigai Mini II Hydro Project
PlantInfo,F305,changed,N.A.,2012-01-30
PlantInfo,G305,changed,2,1.25
PlantInfo,C307,changed,Periyar Vaigai Mini IV Hydro Project,Periyar Vaigai Mini III Hydro Project
PlantInfo,G307,changed,1.25,2
PlantInfo,C309,changed,Perunchani Small Hydro Project,Periyar Vaigai Mini IV Hydro Project
PlantInfo,F309,changed,2005-12-21,N.A.
PlantInfo,G309,changed,0.65,1.25
PlantInfo,F310,changed,2006-01-22,2005-12-21
PlantInfo,C311,changed,Punachi Small Hydro Project,Perunchani Small Hydro Project
PlantInfo,E311,changed,Coimbatore,Kanniyakumari
PlantInfo,F311,changed,1992-11-12,2006-01-22
PlantInfo,G311,changed,1,0.65
PlantInfo,F312,changed,1992-12-16,1992-11-12
PlantInfo,C313,changed,Pykara Micro Power House,Punachi Small Hydro Project
PlantInfo,E313,changed,Nilgiris,Coimbatore
PlantInfo,F313,changed,1989-10-09,1992-12-16
PlantInfo,G313,changed,2,1
PlantInfo,C314,changed,Sathanur Small Hydro Project,Pykara Micro Power House
PlantInfo,E314,changed,Tiruvannamalai,Nilgiris
PlantInfo,F314,changed,1999-03-10,1989-10-09
PlantInfo,G314,changed,7.5,2
PlantInfo,C315,changed,Servalar Small Hydro Project,Sathanur Small Hydro Project
