component_type,component_id,excel_row,record_kind,unit_sequence,source,plant_name,state,district,commissioning_date,capacity_mw,implementing_agency,duplicate_group_size
Generator,vallur_tpp__unit_01,67,unit,1,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2012-03-01,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1
Generator,vallur_tpp__unit_02,68,unit,2,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2013-02-28,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1
Generator,vallur_tpp__unit_03,69,unit,3,Coal,Vallur TPP,Tamil Nadu,Thiruvallur,2014-02-28,500.0,NTPC Tamil Nadu Energy Co. Ltd. (NTECL),1
Generator,aliyar_hydroelectric_power_project__unit_01,70,unit,1,Hydro,Aliyar Hydroelectric Power Project,Tamil Nadu,Coimbatore,1970-03-21,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_02,71,unit,2,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Tamil Nadu,Erode,2006-12-08,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_i_hydroelectric_power_project__unit_01,72,unit,1,Hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Tamil Nadu,Erode,2006-07-04,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_01,73,unit,1,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Tamil Nadu,Erode,2013-08-27,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_ii_hydroelectric_power_project__unit_02,74,unit,2,Hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Tamil Nadu,Erode,2013-09-06,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_01,75,unit,1,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Tamil Nadu,Erode,2012-06-28,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,bhavani_kattalai_barrage_iii_hydroelectric_power_project__unit_02,76,unit,2,Hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Tamil Nadu,Erode,2013-08-01,15.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
StorageUnit,kadmparai_power_house__unit_01,77,unit,1,Hydro,Kadmparai Power House,Tamil Nadu,Coimbatore,1987-10-17,100.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
StorageUnit,kadmparai_power_house__unit_02,78,unit,2,Hydro,Kadmparai Power House,Tamil Nadu,Coimbatore,1988-02-26,100.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
StorageUnit,kadmparai_power_house__unit_03,79,unit,3,Hydro,Kadmparai Power House,Tamil Nadu,Coimbatore,1988-04-12,100.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
StorageUnit,kadmparai_power_house__unit_04,80,unit,4,Hydro,Kadmparai Power House,Tamil Nadu,Coimbatore,1989-12-16,100.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kodayar_i_ii_power_house__unit_01,81,unit,1,Hydro,Kodayar I & II Power House,Tamil Nadu,Kanyakumari,1970-12-09,60.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kodayar_i_ii_power_house__unit_02,82,unit,2,Hydro,Kodayar I & II Power House,Tamil Nadu,Kanyakumari,1971-11-17,40.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_01,83,unit,1,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-07-08,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_02,84,unit,2,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-07-22,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_08,85,unit,8,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1964-04-01,20.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_03,86,unit,3,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1960-10-30,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
Generator,kundah_i_to_v_hydroelectric_power_project__unit_04,87,unit,4,Hydro,Kundah I to V Hydroelectric Power Project,Tamil Nadu,Nilgiris,1961-01-10,35.0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO),1
