name,bus,p_nom,p_min_pu,p_max_pu,p_init,e_sum_max,carrier,marginal_cost,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down
pykara_hydroelectric_power_project__unit_05,Tamil_Nadu,13.6,0.0,1.0,,41692.99023957409,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_hydroelectric_power_project__unit_06,Tamil_Nadu,11.0,0.0,1.0,,33722.27151730257,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_01,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_02,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
pykara_ultimate_hydroelectric_power_project__unit_03,Tamil_Nadu,50.0,0.0,1.0,,153283.05235137534,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sarkarpathy_hydroelectric_power_project__unit_01,Tamil_Nadu,30.0,0.0,1.0,,91969.8314108252,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sholayar_i_power_house__unit_01,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
sholayar_i_power_house__unit_02,Tamil_Nadu,42.0,0.0,1.0,,128757.76397515528,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
suruliyar_hydroelectric_power_project__unit_01,Tamil_Nadu,35.0,0.0,1.0,,107298.13664596273,hydro,300.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ariyalur__aggregate_01,Tamil_Nadu,22.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_chennai__aggregate_01,Tamil_Nadu,3.125,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_coimbatore__aggregate_01,Tamil_Nadu,2260.1875,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dharmapuri__aggregate_01,Tamil_Nadu,196.0,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_dindigul__aggregate_01,Tamil_Nadu,635.2675,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_erode__aggregate_01,Tamil_Nadu,129.33,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kancheepuram__aggregate_01,Tamil_Nadu,7.65,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_kanniyakumari__aggregate_01,Tamil_Nadu,349.125,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_karur__aggregate_01,Tamil_Nadu,589.1025000000009,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_n_a__aggregate_01,Tamil_Nadu,279.51,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_ramanathapuram__aggregate_01,Tamil_Nadu,17.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_salem__aggregate_01,Tamil_Nadu,3.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_thanjavur__aggregate_01,Tamil_Nadu,8.8,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_theni__aggregate_01,Tamil_Nadu,574.6,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_thiruvallur__aggregate_01,Tamil_Nadu,7.2,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_thoothukkudi__aggregate_01,Tamil_Nadu,2174.3775,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tiruchirappalli__aggregate_01,Tamil_Nadu,6.4,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
tamil_nadu_tirunelveli__aggregate_01,Tamil_Nadu,3807.5405000000005,0.0,1.0,,inf,wind,0.0,False,0.0,0.0,0,0,1,0,,,,
