,Tamil_Nadu_demand
636,17064.98
637,16580.55
638,16570.44
639,17151.55
640,17359.44
641,17171.39
642,16401.86
643,16529.53
644,16125.25
645,16471.0
646,17126.3
647,17047.84
648,16177.87
649,15800.93
650,15454.44
651,15198.25
652,15018.3
653,15193.11
654,15314.2
655,16375.88
656,16647.42
657,18024.89
658,18832.45
659,18779.47
660,18881.1
661,18621.18
662,18114.21
663,18998.97
664,18107.86
665,18740.89
666,18603.15
667,18606.77
668,18378.77
669,18263.87
670,18711.39
671,18405.56
672,17584.3
673,17015.89
674,16576.5
675,16376.85
676,16137.43
677,16288.24
678,16232.04
679,17094.56
680,17119.8
681,17965.43
682,18348.25
683,18213.39
684,18804.93
685,18623.92
686,18725.59
687,19431.74
688,19670.91
689,18985.37
690,19012.16
691,19431.02
692,18613.71
693,18407.69
694,18828.69
695,18574.37
696,17586.88
697,17117.65
698,16724.45
699,16361.42
700,16216.73
701,16348.08
702,16206.56
703,16963.0
704,17112.01
705,17943.97
706,18607.5
707,18649.29
708,18527.74
709,18337.79
710,15166.29
711,17516.36
712,19611.96
713,18961.05
714,18630.12
715,18695.77
716,17951.18
717,17861.61
718,18430.16
719,18358.82
720,17614.1
721,17359.79
722,16818.04
723,16386.54
724,16056.74
725,16094.14
726,15868.98
727,15782.27
728,15173.75
729,15108.32
730,15014.18
731,14970.19
732,16187.46
733,16047.26
734,16035.36
735,16481.92
736,16524.79
737,15932.02
738,15676.98
739,15690.48
740,15380.31
741,15643.45
742,16226.87
743,16179.77
744,15598.2
745,15415.33
746,14958.26
747,14711.25
748,14510.58
749,14555.51
750,14656.85
751,15746.64
752,16347.85
753,17370.4
754,18289.92
755,18128.78
756,18078.11
757,17812.57
758,17247.59
759,18243.31
760,17630.77
761,17707.57
762,17227.64
763,17401.5
764,16815.87
765,17070.99
766,17551.1
767,17325.71
768,16592.34
769,16113.77
770,15758.36
771,15427.99
772,15275.09
773,15239.74
774,15044.44
775,15631.09
776,15649.95
777,16663.59
778,17119.84
779,17158.99
780,17208.46
781,17207.86
782,17335.82
783,18201.08
784,18533.05
785,18709.36
786,18080.79
787,18321.75
788,17782.16
789,17746.3
790,18014.52
791,18000.49
792,17208.62
793,16654.4
794,16117.79
795,15745.12
796,15454.05
797,15543.02
798,15576.79
799,15502.66
800,15079.03
801,15479.53
802,15772.59
803,15861.85
804,15872.6
805,15856.79
806,15911.7
807,16402.16
808,15447.43
809,14854.74
810,14287.78
811,13713.38
812,12947.62
813,13636.25
814,13765.07
815,13676.08
816,13061.58
817,12714.68
818,12462.76
819,11849.53
820,11644.0
821,11898.0
822,12173.58
823,13169.73
824,14219.53
825,15220.78
826,15879.88
827,15982.42
828,16094.58
829,16213.3
830,16105.87
831,16957.22
832,17298.24
833,17236.78
834,17644.0
835,17910.54
836,17360.32
837,17508.61
838,17936.67
839,17684.41
840,16903.11
841,16308.32
842,15623.62
843,15326.15
844,15081.95
845,14984.61
846,15342.21
847,16280.51
848,16370.67
849,17248.55
850,17888.47
851,17989.98
852,17651.66
853,17664.38
854,17696.57
855,18232.67
856,17790.94
857,17651.1
858,17255.8
859,17193.64
860,15921.45
861,15305.4
862,15861.66
863,15548.22
864,14723.35
865,14240.78
866,13885.53
867,13696.32
868,13679.94
869,13828.61
870,13994.7
871,14794.39
872,15135.26
873,15713.58
874,16671.22
875,16728.9
876,17065.74
877,16952.34
878,16843.68
879,17665.12
880,17671.2
881,17562.19
882,16728.99
883,16727.52
884,16047.67
885,16196.38
886,16377.63
887,16436.07
888,15729.63
889,15303.28
890,14831.37
891,14520.51
892,14355.65
893,14329.68
894,14485.63
895,15160.13
896,15359.2
897,16094.56
898,16586.39
899,16573.36
900,16732.65
901,16518.83
902,16631.27
903,17500.83
904,17476.1
905,17398.44
906,16996.84
907,17693.87
908,17127.7
909,17213.3
910,17269.82
911,17043.49
912,16117.95
913,15568.51
914,15236.14
915,14979.79
916,14679.54
917,14756.39
918,15144.6
919,15849.46
920,15721.11
921,16612.72
922,16848.91
923,16870.29
924,17247.05
925,16976.09
926,17060.85
927,17998.27
928,18626.03
929,18558.99
930,18003.55
931,18080.81
932,17444.79
933,17448.88
934,17882.93
935,17790.79
936,17034.26
937,16552.14
938,15981.55
939,15560.61
940,15274.04
941,15119.8
942,15224.46
943,15750.53
944,15867.98
945,16773.41
946,17383.81
947,17534.04
948,17803.26
949,17252.73
950,17372.78
951,18152.5
952,18628.78
953,18099.0
954,17801.28
955,18220.4
956,17697.87
957,17744.15
958,18055.23
959,17738.7
960,17141.75
961,16589.07
962,16038.12
963,15736.72
964,15521.96
965,15461.09
966,15274.28
967,15708.35
968,15209.31
969,15439.69
970,15493.6
971,15399.81
972,15377.77
973,15124.46
974,15287.74
975,15232.51
976,16039.45
977,16377.79
978,16175.25
979,16447.37
980,15760.77
981,16024.52
982,16532.43
983,16378.84
984,15780.19
985,15004.33
986,14785.74
987,14501.17
988,14627.37
989,14679.94
990,15030.53
991,15869.05
992,16261.29
993,17165.34
994,17806.21
995,18119.71
996,17915.25
997,17939.25
998,18109.1
999,18971.78
1000,19249.52
1001,19001.83
1002,18131.06
1003,18030.26
1004,17132.9
1005,17270.41
1006,17718.03
1007,17648.71
1008,17045.77
1009,16556.22
1010,16127.09
1011,15916.39
1012,15605.36
1013,15581.69
1014,15611.2
1015,16189.38
1016,16484.78
1017,17419.27
